Date,Price,lag_P,lag_O,lag_H,lag_L,lag_V,lag_C,Year,Month,Day,Weekday
2020-10-07,0.810464968959838,0.8171797795515015,0.8094938302694534,0.8106326889279438,0.8308761720012932,0.00102880658436214,0.549645390070922,0.75,0.8181818181818182,0.2,0.3333333333333333
2020-10-08,0.8138223742556696,0.8318763461294818,0.8001133215814655,0.8233743409490333,0.8254445522146783,0.0013093901982790873,0.6117021276595744,0.75,0.8181818181818182,0.23333333333333334,0.5
2020-10-09,0.8338717851260611,0.8257950082351451,0.8201334676403929,0.8292430328897815,0.8424506951180084,0.2728208005985784,0.4964539007092199,0.75,0.8181818181818182,0.26666666666666666,0.6666666666666666
2020-10-12,0.8431838337767643,0.810464968959838,0.8109733064719213,0.8097539543057997,0.8225024248302619,0.32341937897493456,0.4450354609929078,0.75,0.8181818181818182,0.3666666666666667,0.0
2020-10-13,0.8159445077917142,0.8138223742556696,0.8037018383278771,0.8107896058247552,0.8254122211445198,0.2786195286195286,0.5487588652482269,0.75,0.8181818181818182,0.4,0.16666666666666666
2020-10-14,0.8256999873305462,0.8338717851260611,0.8126731301939059,0.8270461963344213,0.8383446492078888,0.28497942386831276,0.6418439716312057,0.75,0.8181818181818182,0.43333333333333335,0.3333333333333333
2020-10-15,0.8307994425440264,0.8431838337767643,0.8315600604381768,0.8348920411749938,0.8572259941804072,0.2048260381593715,0.5815602836879432,0.75,0.8181818181818182,0.4666666666666667,0.5
2020-10-16,0.825414924616749,0.8159445077917142,0.830930496096701,0.8315340195832288,0.8328806983511154,0.3153759820426487,0.38120567375886527,0.75,0.8181818181818182,0.5,0.6666666666666666
2020-10-19,0.8300392753072343,0.8256999873305462,0.8105640896499622,0.8202360030128044,0.8359521500161655,0.23410026187803964,0.5842198581560284,0.75,0.8181818181818182,0.6,0.0
2020-10-20,0.835930571392373,0.8307994425440264,0.8151913875598087,0.8226839066030631,0.8369220821209182,0.26833146277590725,0.5585106382978724,0.75,0.8181818181818182,0.6333333333333333,0.16666666666666666
2020-10-21,0.8478398581021158,0.825414924616749,0.8210463359355327,0.8230291237760481,0.8422567086970578,0.19032921810699588,0.500886524822695,0.75,0.8181818181818182,0.6666666666666666,0.3333333333333333
2020-10-22,0.829722538958571,0.8300392753072343,0.8192520775623269,0.8264812955059,0.8341739411574522,0.19827908716797607,0.5558510638297872,0.75,0.8181818181818182,0.7,0.5
